duration_min_only_pass form=ufld_obstacle_sim_unit  mmod=duration_min_only_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a,duration=7  given=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a,duration=7  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[HARD-BASE]
duration_fixed_pass form=ufld_obstacle_sim_unit  mmod=duration_fixed_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a,duration=12  given=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a,duration=12  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[GLIB-LOSS]
multi_field_labels_pass form=ufld_obstacle_sim_unit  mmod=multi_field_labels_pass  grade=pass  eval=true  known=pts={32,8:37,8:37,13:32,13},label=ufos_b  given=pts={32,8:37,8:37,13:32,13},label=ufos_b  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[GAMY-CURT]
fixed_field_publish_pass form=ufld_obstacle_sim_unit  mmod=fixed_field_publish_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[INKY-JESS]
pmv_connect_repeated_repost_pass form=ufld_obstacle_sim_unit  mmod=pmv_connect_repeated_repost_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[VAIN-CASH]
pmv_connect_absent_no_publish_pass form=ufld_obstacle_sim_unit  mmod=pmv_connect_absent_no_publish_pass  grade=pass  eval=true  known=$[KNOWN_OBSTACLE]  given=$[GIVEN_OBSTACLE]  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[DEAD-SALE]
duration_min_max_swap_pass form=ufld_obstacle_sim_unit  mmod=duration_min_max_swap_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a,duration=10  given=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a,duration=10  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[LEWD-POSE]
duration_disabled_zero_pass form=ufld_obstacle_sim_unit  mmod=duration_disabled_zero_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[EASY-SPAT]
post_visuals_false_pass form=ufld_obstacle_sim_unit  mmod=post_visuals_false_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[LONE-WHIT]
post_points_inside_pass form=ufld_obstacle_sim_unit  mmod=post_points_inside_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=$[GIVEN_OBSTACLE]  tracked=x=10,y=-8.35,key=ufos_a  mhash=[FLAT-EAST]
draw_region_false_pass form=ufld_obstacle_sim_unit  mmod=draw_region_false_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[GLUM-PENN]
vehicle_connect_no_refresh_pass form=ufld_obstacle_sim_unit  mmod=vehicle_connect_no_refresh_pass  grade=pass  eval=true  known=$[KNOWN_OBSTACLE]  given=$[GIVEN_OBSTACLE]  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[VILE-MAIL]
post_points_multi_vehicle_pass form=ufld_obstacle_sim_unit  mmod=post_points_multi_vehicle_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=$[GIVEN_OBSTACLE]  tracked=x=10,y=-8.69,key=ufos_a  mhash=[SOFT-ANDY]
invalid_node_report_no_points_pass form=ufld_obstacle_sim_unit  mmod=invalid_node_report_no_points_pass  grade=pass  eval=true  known=pts={10,-10:14,-10:14,-6:10,-6},label=ufos_a  given=$[GIVEN_OBSTACLE]  tracked=$[TRACKED_FEATURE_ALPHA]  mhash=[THEN-XAVI]
